movie_name,genre,rating,description
Sinners,"Folk Horror, Period Drama, Supernatural Horror, Vampire Horror, Action, Drama, Horror, Music, Thriller",7.5,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
Train Dreams,"Period Drama, Psychological Drama, Drama",7.6,"Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-changing America of the early 20th Century."
If I Had Legs I'd Kick You,"Dark Comedy, Psychological Drama, Drama, Thriller",6.7,"While trying to manage her own life and career, a woman on the verge of a breakdown must cope with her daughter's illness, an absent husband, a missing person, and an unusual relationship with her therapist."
Blue Moon,"Psychological Drama, Biography, Comedy, Drama, History, Music, Romance",6.9,"Tells the story of Lorenz Hart's struggles with alcoholism and mental health as he tries to save face during the opening of ""Oklahoma!""."
Together,"Body Horror, Monster Horror, Psychological Horror, Supernatural Horror, Horror, Romance",6.7,"Years into their relationship, Tim and Millie find themselves at a crossroads as they move to the country. With tensions already flaring, an encounter with an unnatural force threatens to corrupt their lives, their love and their flesh."
The Ugly Stepsister,"Norwegian, Body Horror, Dark Comedy, Satire, Comedy, Drama, Horror",7.0,"Elvira battles against her gorgeous stepsister in a realm where beauty reigns supreme. She resorts to extreme measures to captivate the prince, amid a ruthless competition for physical perfection."
Black Bag,"Psychological Thriller, Spy, Drama, Mystery, Romance, Thriller",6.7,"When intelligence agent Kathryn Woodhouse is suspected of betraying the nation, her husband - also a legendary agent - faces the ultimate test of whether to be loyal to his marriage, or his country."
Thunderbolts*,"Dark Comedy, Dark Fantasy, Political Drama, Psychological Drama, Superhero, Action, Adventure, Crime, Drama, Fantasy",7.1,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts."
The Gorge,"Dark Romance, Monster Horror, Survival, Action, Adventure, Horror, Romance, Sci-Fi",6.7,Two operatives are appointed to posts in guard towers on opposite sides of a classified gorge.
The Ballad of Wallis Island,"Quirky Comedy, Comedy, Drama, Music, Romance",7.4,An eccentric lottery winner who lives alone on a remote island tries to make his fantasies come true by getting his favorite musicians to perform at his home.
"Sorry, Baby","Dark Comedy, Psychological Drama, Comedy, Drama",7.2,"After a tragic event, a woman finds herself alone while everyone else continues with their lives as if nothing had happened."
Warfare,"Action Epic, Docudrama, Epic, Period Drama, Psychological Drama, War Epic, Action, Drama, War",7.2,"A platoon of Navy SEALs embark on a dangerous mission in Ramadi, Iraq, with the chaos and brotherhood of war retold through their memories of the event."
Twinless,"Dark Comedy, Psychological Drama, Comedy, Drama",7.4,"A young man grieving the loss of his twin brother joins a support group for ""twinless twins."""
Mickey 17,"Alien Invasion, Dark Comedy, Satire, Space Sci-Fi, Adventure, Comedy, Fantasy, Sci-Fi",6.7,"During a human expedition to colonize space, Mickey 17, a so-called ""expendable"" employee, is sent to explore an ice planet."
Companion,"Artificial Intelligence, Dark Comedy, Psychological Thriller, Sci-Fi, Thriller",6.9,A weekend getaway with friends at a remote cabin turns into chaos after it's revealed that one of the guests is not what they seem.
A Minecraft Movie,"Action Epic, Adventure Epic, Fantasy Epic, High-Concept Comedy, Quest, Slapstick, Survival, Action, Adventure, Comedy",5.6,Four misfits are suddenly pulled through a mysterious portal into a bizarre cubic wonderland that thrives on imagination. To get back home they'll have to master this world while embarking on a quest with an unexpected expert crafter.
The Perfect Neighbor,"Crime Documentary, True Crime, Crime, Documentary, Drama, Thriller",7.1,"A minor disagreement between neighbors in Florida takes a lethal turn, with police body camera footage and interviews probing the aftermath of the state's controversial ""stand your ground"" laws."
The Astronaut,"Alien Invasion, Horror, Sci-Fi, Thriller",4.7,"When an astronaut crash-lands back to Earth, a General places her in quarantine for rehabilitation and testing. As disturbing events unfold, she fears that something extraterrestrial has followed her home."
Mr. Nobody Against Putin,"Russian, Military Documentary, Documentary",7.6,"A Russian teacher secretly documents his small town school's transformation into a war recruitment center during the Ukraine invasion, revealing the ethical dilemmas educators face amid propaganda and militarization."
Havoc,"Conspiracy Thriller, Drug Crime, Gun Fu, Martial Arts, One-Person Army Action, Psychological Thriller, Suspense Mystery, Action, Crime, Drama",5.6,"After a drug deal gone wrong, a bruised detective must fight his way through the criminal underworld to rescue a politician's estranged son, unraveling a deep web of corruption and conspiracy that ensnares his entire city."
The Accountant 2,"Whodunnit, Action, Crime, Drama, Mystery, Thriller",6.6,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.
Good Boy,"B-Horror, Body Horror, Folk Horror, Monster Horror, Psychological Horror, Supernatural Horror, Horror, Thriller",6.1,"A loyal dog moves to a rural family home with his owner, only to discover supernatural forces lurking in the shadows. As dark entities threaten his human companion, the brave pup must fight to protect the one he loves most."
The Amateur,"Spy, Action, Thriller",6.5,"When his supervisors at the CIA refuse to take action after his wife is killed in a London terrorist attack, a decoder takes matters into his own hands."
A Working Man,"Conspiracy Thriller, One-Person Army Action, Action, Thriller",5.7,"Levon Cade left his profession behind to work construction and be a good dad to his daughter. But when a local girl vanishes, he's asked to return to the skills that made him a mythic figure in the shadowy world of counter-terrorism."
Until Dawn,"Body Horror, Folk Horror, Monster Horror, Psychological Drama, Psychological Horror, Slasher Horror, Splatter Horror, Supernatural Horror, Zombie Horror, Drama",5.7,"A group of friends trapped in a time loop, where mysterious foes chase and kill them in gruesome ways, must survive until dawn to escape it."
Drop,"Psychological Thriller, Whodunnit, Drama, Mystery, Thriller",6.1,"A widowed mother's first date in years takes a terrifying turn when she's bombarded with anonymous threatening messages on her phone during their upscale dinner, leaving her questioning if her charming date is behind the harassment."
The Alabama Solution,Documentary,7.9,Incarcerated men defy the odds to expose a cover-up in one of the United States' deadliest prison systems.
The Electric State,"Action Epic, Adventure Epic, Artificial Intelligence, Dystopian Sci-Fi, Epic, Quest, Sci-Fi Epic, Urban Adventure, Action, Adventure",5.9,"An orphaned teen hits the road with a mysterious robot to find her long-lost brother, teaming up with a smuggler and his wisecracking sidekick."
Come See Me in the Good Light,"Documentary, Family",7.8,"Facing an incurable diagnosis, two poet lovers embark on a poignant yet unexpectedly humorous exploration of love, mortality, and life's moments."
Death of a Unicorn,"Dark Comedy, Dark Fantasy, Folk Horror, Monster Horror, Comedy, Fantasy, Horror, Thriller",5.8,"A father and daughter accidentally hit and kill a unicorn while en route to a weekend retreat, where his billionaire boss seeks to exploit the creature's miraculous curative properties."
Final Destination: Bloodlines,"Dark Comedy, Splatter Horror, Supernatural Horror, Teen Horror, Horror, Thriller",6.7,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them."
Nonnas,Comedy,6.8,"After losing his beloved mother, a man risks everything to honor her by opening an Italian restaurant with actual grandmothers as the chefs."
Snow White,"Fairy Tale, Feel-Good Romance, Adventure, Family, Fantasy, Musical, Romance",2.2,A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen.
The Monkey,"Body Horror, Dark Comedy, Folk Horror, Monster Horror, Psychological Horror, Splatter Horror, Supernatural Horror, Horror",5.9,"When twin brothers Bill and Hal find their father's old monkey toy in the attic, a series of gruesome deaths start. The siblings decide to throw the toy away and move on with their lives, growing apart over the years."
Novocaine,"Dark Comedy, Heist, One-Person Army Action, Superhero, Action, Comedy, Crime, Thriller",6.5,"When the girl of his dreams is kidnapped, a man incapable of feeling physical pain turns his rare condition into an unexpected advantage in the fight to rescue her."
Captain America: Brave New World,"Action Epic, Adventure Epic, Epic, Sci-Fi Epic, Superhero, Action, Adventure, Sci-Fi",5.6,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan."
Plainclothes,"Tragic Romance, Drama, Romance, Thriller",7.1,A promising undercover agent assigned to lure and arrest gay men defies professional orders when he falls in love with a target.
Islands,"Crime, Drama, Thriller",6.4,"Tom, a tennis pro washed up on a holiday island. Now he's the coach at a hotel resort, hitting countless balls over the net to tourists. When he crosses paths with a particular tourist family, it seems he's found an escape of his own."
The Threesome,"Romantic Comedy, Comedy, Drama, Romance",6.2,"When a young man's crush leads him into an unexpected threesome, he thinks it's his ultimate fantasy come true. But when the fantasy ends, all three are left with sobering consequences, forcing them to be responsible for their actions."
Hallow Road,"Psychological Thriller, Tragedy, Drama, Horror, Thriller",6.0,Two parents enter a race against time when they receive a distressing late-night phone call from their daughter after she caused a tragic car accident.
Nirvanna the Band the Show the Movie,"Mockumentary, Comedy",8.7,"When their plan to book a show at the Rivoli goes horribly wrong, Matt and Jay accidentally travel back to the year 2008."
Dreams,"Spanish, Psychological Thriller, Drama, Romance, Thriller",5.6,"Romance blossoms between a wealthy socialite and a Mexican ballet dancer, intertwining their contrasting lives and cultures."
The Life List,"Feel-Good Romance, Romantic Comedy, Comedy, Drama, Romance",6.8,"A woman revisits her childhood aspirations, endeavoring to achieve her old goals, only to discover that pursuing these lifelong dreams takes her on an unforeseen and surprising journey."
Rebuilding,Drama,6.8,"After wildfires take his ranch, a cowboy named Dusty winds up in a FEMA camp. He finds community with others who lost homes, while reconnecting with his daughter and ex-wife."
Ne Zha 2,"Mandarin, Action Epic, Adult Animation, Computer Animation, Dark Fantasy, Epic, Fantasy Epic, Martial Arts, Supernatural Fantasy, Wuxia",7.9,"After a great catastrophe, the souls of Nezha and Aobing are saved, but their bodies face ruin. To give them new life, Taiyi Zhenren turns to the mystical seven-colored lotus in a daring bid to rebuild them and change their fate."
The Age of Disclosure,Documentary,6.8,"Featuring 34 U.S. Government insiders, this explosive documentary reveals an 80-year global cover-up of non-human intelligent life and a secret war among major nations to reverse engineer advanced technology of non-human origin."
Flight Risk,"Psychological Thriller, Action, Crime, Drama, Thriller",5.2,"A pilot transports an Air Marshal accompanying a fugitive to trial. As they cross the Alaskan wilderness, tensions soar and trust is tested, as not everyone on board is who they seem."
Echo Valley,"Psychological Drama, Psychological Thriller, Drama, Thriller",6.2,"Kate is dealing with a personal tragedy while owning and training horses in Echo Valley, an isolated and picturesque place, when her daughter, Claire, arrives at her doorstep, frightened, trembling and covered in someone else's blood."
Den of Thieves: Pantera,"Caper, Heist, Action, Crime, Drama, Thriller",6.3,"Big Nick is back on the hunt in Europe and closing in on Donnie, who is embroiled in the treacherous world of diamond thieves and the infamous Panther mafia, as they plot a massive heist of the world's largest diamond exchange."
Borderline,"Dark Comedy, Psychological Horror, Psychological Thriller, Comedy, Horror, Thriller",5.5,A bodyguard protects a pop superstar and her athlete boyfriend from a determined stalker in 1990s Los Angeles.
Cutting Through Rocks,"Biography, Documentary, Family",7.7,"First female councilor in her Iranian village, Sara Shahverdi challenges tradition by teaching girls to ride motorcycles and fighting child marriage, while facing doubts about her motives."
"Oh, Hi!","Dark Comedy, Comedy",6.2,Iris and Isaac's first romantic weekend getaway goes awry in a most unexpected way.
The Alto Knights,"Docudrama, Gangster, Period Drama, True Crime, Biography, Crime, Drama, History",5.9,"Two of New York City's most notorious crime bosses vie for control of the city's streets. Once best friends, petty jealousies and a series of betrayals set them on a deadly collision course."
Charlie the Wonderdog,"Animal Adventure, Animation, Comedy, Family",5.5,"A dog gains superpowers after he is abducted by aliens. Together, they battle an evil cat threatening humanity while the dog becomes a famous superhero."
